player_id,prev year,next year,class transition,type,prev conf,next conf,prev BB%,next BB%,prev K%,next K%,prev OBP,next OBP,prev SLG,next SLG,prev OPS,next OPS
morgan002tre,2022,2023,2 to 3,Returning,SEC,SEC,8.5,10.6,8.799999999999999,10.0,0.414,0.418,0.462,0.502,0.876,0.92
pearso002jos,2022,2023,1 to 2,Returning,SEC,SEC,11.899999999999999,18.5,22.2,22.5,0.432,0.393,0.524,0.387,0.956,0.78
pearso002jos,2023,2024,2 to 3,Returning,SEC,SEC,18.5,9.4,22.5,18.5,0.393,0.352,0.387,0.442,0.78,0.794
pearso002jos,2024,2025,3 to 4,Returning,SEC,SEC,9.4,12.9,18.5,14.6,0.352,0.434,0.442,0.496,0.794,0.931
thomps002jor,2021,2022,1 to 2,Returning,SEC,SEC,8.200000000000001,13.100000000000001,23.400000000000002,16.5,0.324,0.395,0.392,0.432,0.715,0.827
thomps002jor,2022,2023,2 to 3,Returning,SEC,SEC,13.100000000000001,10.5,16.5,22.7,0.395,0.365,0.432,0.43,0.827,0.794
caglia000jac,2023,2024,2 to 3,Returning,SEC,SEC,5.3,18.4,18.2,8.200000000000001,0.389,0.544,0.738,0.875,1.126,1.419
evans-000ty-,2023,2024,2 to 3,Returning,SEC,SEC,5.0,8.5,23.5,25.900000000000002,0.302,0.406,0.485,0.58,0.786,0.987
fabian000jud,2021,2022,3 to 4,Returning,SEC,SEC,14.899999999999999,20.0,29.4,22.3,0.364,0.414,0.56,0.598,0.924,1.013
halter000col,2021,2022,1 to 2,Returning,SEC,SEC,10.4,10.2,22.0,22.400000000000002,0.379,0.338,0.453,0.38,0.832,0.718
halter000col,2022,2023,2 to 3,Returning,SEC,SEC,10.2,11.600000000000001,22.400000000000002,15.7,0.338,0.354,0.38,0.397,0.718,0.751
langfo000wya,2022,2023,2 to 3,Returning,SEC,SEC,11.899999999999999,18.5,14.499999999999998,14.499999999999998,0.447,0.498,0.719,0.784,1.166,1.282
riopel000bra,2021,2022,3 to 4,Transfer,SBC,SEC,8.1,8.0,36.5,29.7,0.354,0.371,0.459,0.551,0.814,0.921
riopel000bra,2022,2023,4 to 5,Returning,SEC,SEC,8.0,13.200000000000001,29.7,28.7,0.371,0.374,0.551,0.546,0.921,0.92
rivera015jos,2021,2022,2 to 3,Returning,SEC,SEC,8.6,11.5,24.8,16.900000000000002,0.324,0.351,0.389,0.429,0.713,0.78
rivera015jos,2022,2023,3 to 4,Returning,SEC,SEC,11.5,14.7,16.900000000000002,11.200000000000001,0.351,0.447,0.429,0.617,0.78,1.064
thomps007ste,2021,2022,1 to 2,Returning,SEC,SEC,9.9,12.1,21.2,15.4,0.396,0.443,0.47,0.563,0.866,1.006
bradfi000enr,2021,2022,1 to 2,Returning,SEC,SEC,14.799999999999999,14.000000000000002,13.8,13.700000000000001,0.451,0.415,0.414,0.498,0.865,0.913
bradfi000enr,2022,2023,2 to 3,Returning,SEC,SEC,14.000000000000002,15.1,13.700000000000001,13.4,0.415,0.41,0.498,0.429,0.913,0.839
bulger000jac,2021,2022,1 to 2,Returning,SEC,SEC,13.200000000000001,11.4,21.2,11.799999999999999,0.369,0.363,0.414,0.368,0.783,0.731
bulger000jac,2022,2023,2 to 3,Returning,SEC,SEC,11.4,12.6,11.799999999999999,14.799999999999999,0.363,0.348,0.368,0.37,0.731,0.718
casas-000gav,2023,2024,3 to 4,Returning,SEC,SEC,15.0,10.5,23.400000000000002,23.3,0.407,0.385,0.569,0.491,0.976,0.876
diaz--006dav,2022,2023,1 to 2,Returning,SEC,SEC,14.799999999999999,13.4,15.2,15.5,0.353,0.376,0.293,0.415,0.645,0.791
diaz--006dav,2023,2024,2 to 3,Returning,SEC,SEC,13.4,11.3,15.5,16.6,0.376,0.35,0.415,0.385,0.791,0.735
keegan000dom,2021,2022,3 to 4,Returning,SEC,SEC,11.200000000000001,14.2,27.700000000000003,18.5,0.427,0.458,0.638,0.646,1.065,1.104
noland000par,2023,2024,4 to 5,Returning,SEC,SEC,10.100000000000001,14.2,21.3,20.4,0.367,0.383,0.455,0.342,0.822,0.725
vastin000jon,2023,2024,2 to 3,Returning,SEC,SEC,9.6,10.299999999999999,24.9,26.1,0.355,0.384,0.448,0.545,0.803,0.929
vastin000jon,2024,2025,3 to 4,Returning,SEC,SEC,10.299999999999999,12.5,26.1,29.7,0.384,0.358,0.545,0.449,0.929,0.807
young-001car,2021,2022,2 to 3,Returning,SEC,SEC,11.1,13.3,30.099999999999998,29.2,0.341,0.327,0.559,0.383,0.899,0.71
anders007ben,2021,2022,2 to 3,Returning,SEC,SEC,14.299999999999999,13.8,20.599999999999998,16.400000000000002,0.326,0.386,0.352,0.453,0.678,0.839
anders007ben,2022,2023,3 to 4,Returning,SEC,SEC,13.8,11.5,16.400000000000002,23.7,0.386,0.367,0.453,0.432,0.839,0.799
collin000cor,2021,2022,1 to 2,Returning,SEC,SEC,12.7,14.499999999999998,25.4,27.400000000000002,0.382,0.387,0.487,0.453,0.868,0.84
harber000par,2022,2023,2 to 3,Returning,SEC,SEC,7.5,7.7,16.2,24.4,0.365,0.342,0.528,0.575,0.893,0.917
rogers008cha,2021,2022,4 to 5,Returning,SEC,SEC,9.4,14.2,21.0,26.0,0.356,0.387,0.402,0.413,0.758,0.801
tate--000col,2021,2022,4 to 5,Returning,SEC,SEC,7.199999999999999,10.6,22.5,25.4,0.379,0.429,0.395,0.533,0.775,0.962
tate--000con,2021,2022,3 to 4,Returning,SEC,SEC,6.7,12.4,21.9,21.099999999999998,0.405,0.436,0.545,0.614,0.95,1.05
tate--000con,2022,2023,4 to 5,Returning,SEC,SEC,12.4,11.700000000000001,21.099999999999998,17.5,0.436,0.459,0.614,0.682,1.05,1.141
burkes000dev,2023,2024,2 to 3,Returning,SEC,SEC,13.4,11.3,18.7,18.099999999999998,0.423,0.372,0.502,0.361,0.925,0.733
burkes000dev,2024,2025,3 to 4,Returning,SEC,SEC,11.3,11.600000000000001,18.099999999999998,16.6,0.372,0.34,0.361,0.382,0.733,0.722
fogel-000ada,2021,2022,5 to 6,Transfer,BigW,SEC,7.1,7.9,15.0,18.8,0.382,0.331,0.468,0.42,0.85,0.75
